x	y	r
1	Marinilactibacillus_psychrotolerans	α-farnesene	-0.498700067799019
2	α-farnesene	Marinilactibacillus_psychrotolerans	NA
3	Lentilactobacillus_buchneri	2-butanol	0.48602947328613
4	2-butanol	Lentilactobacillus_buchneri	NA
5	Marinilactibacillus_psychrotolerans	ethanol	-0.485542930540849
6	ethanol	Marinilactibacillus_psychrotolerans	NA
7	Lentilactobacillus_parafarraginis	propanoic acid	0.480957286717385
8	propanoic acid	Lentilactobacillus_parafarraginis	NA
9	Marinilactibacillus_piezotolerans	α-farnesene	-0.476974524644737
10	α-farnesene	Marinilactibacillus_piezotolerans	NA
11	Lentilactobacillus_buchneri	propanoic acid	0.472000978109135
12	propanoic acid	Lentilactobacillus_buchneri	NA
13	Marinilactibacillus_psychrotolerans	ethylhexanoate	-0.469505937959077
14	ethylhexanoate	Marinilactibacillus_psychrotolerans	NA
15	Lentilactobacillus_kisonensis	propanoic acid	0.461508716205771
16	propanoic acid	Lentilactobacillus_kisonensis	NA
17	Lentilactobacillus_rapi	2-butanol	0.458517507084129
18	2-butanol	Lentilactobacillus_rapi	NA
19	Lentilactobacillus_kisonensis	2-butanol	0.454049415230689
20	2-butanol	Lentilactobacillus_kisonensis	NA
21	Lentilactobacillus_rapi	propanoic acid	0.451360763047226
22	propanoic acid	Lentilactobacillus_rapi	NA
23	Lentilactobacillus_parafarraginis	p-creosol	0.435346041683111
24	p-creosol	Lentilactobacillus_parafarraginis	NA
25	Lentilactobacillus_kisonensis	methylpropionate	0.434767144776696
26	methylpropionate	Lentilactobacillus_kisonensis	NA
27	Marinilactibacillus_psychrotolerans	2-methyl-1-propanol	-0.431010378749752
28	2-methyl-1-propanol	Marinilactibacillus_psychrotolerans	NA
29	Lentilactobacillus_buchneri	p-creosol	0.427907052593168
30	p-creosol	Lentilactobacillus_buchneri	NA
31	Marinilactibacillus_psychrotolerans	isoamylalcohol	-0.423914446686179
32	isoamylalcohol	Marinilactibacillus_psychrotolerans	NA
33	Marinilactibacillus_piezotolerans	ethylhexanoate	-0.423389534827082
34	ethylhexanoate	Marinilactibacillus_piezotolerans	NA
35	Lentilactobacillus_parafarraginis	2-butanol	0.421534087816011
36	2-butanol	Lentilactobacillus_parafarraginis	NA
37	Pediococcus_parvulus	methylpropionate	0.417810112270811
38	methylpropionate	Pediococcus_parvulus	NA
39	Lentilactobacillus_kisonensis	4-methoxyphenol	0.414439312872895
40	4-methoxyphenol	Lentilactobacillus_kisonensis	NA
41	Lentilactobacillus_kisonensis	acetic acid	0.409944580694421
42	acetic acid	Lentilactobacillus_kisonensis	NA
43	Lentilactobacillus_kisonensis	p-creosol	0.409757174373057
44	p-creosol	Lentilactobacillus_kisonensis	NA
45	Marinilactibacillus_psychrotolerans	ethyl-3-methylbutanoate	-0.408753008201045
46	ethyl-3-methylbutanoate	Marinilactibacillus_psychrotolerans	NA
