Sample	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	pH	conc_NaCl	g_L_lactic_acid
C135	C135	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.15	44.62	8.94
O100	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	4.48	49.15	3.79
O101	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA
O102	CY5	Ladoelia	Ladoelia	Others	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	5.05	15.0959344	NA
O103	CP5	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	3.91	43.75321796	5.274945455
O104	C146	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	4.51	47.24	4.73
O106	C148	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	4.06	30.3	6.9
O107	C149	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	3.97	33.53	8.84
O108	C150	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	4.02	31.8	7.77
O109	C151	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	4.07	35.97	6.15
O110	PVG01	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	3.91	43.4	6.82
O111	C152	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	3.87	36.93	8.5
O112	C153	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	3.9	34.12	8.74
O114	CY1	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	4.17	16.92894913	3.961293103
O116	CY3	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	4.45	15.5135075	1.907116667
O11	CY6	Manzanillo	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	8.08	79.3122006	NA
O120	PVG02	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	3.94	59.59	7.51
O121	CY10	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	5.02	246.7743405	NA
O122	CP1	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.76	34.98162662	6.7575
O123	CP2	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.75	34.79124739	13.45064286
O124	CP3	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.8	38.38221201	10.69732727
O125	J1	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.45	40.49	0.52405102
O126	J2	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.85	31.27	0.66674
O127	J3	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.45	48.52	4.137244898
O128	J4	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.32	42.09	3.92836
O129	J5	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.59	6.12	0.56763
O12	J6	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	4.65	2.15	0.5406
O131	MO2	Termite di Bitetto	Termite di Bitetto	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA
O132	MO3	Unknown	Unknown	Others	Others	Olives turning color	Natural olives	Natural olives	Gas	None	210	170 < days ≤ 240	3.96	55.68650993	6.098347368
O133	MO4	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	Gas	None	210	170 < days ≤ 240	3.82	49.14960139	6.4872
O134	MO5	Taggiasca	Taggiasca	Others	Others	Black olives	Natural olives	Natural olives	Gas	None	210	170 < days ≤ 240	4.09	57.63814563	5.436370787
O135	MO6	Nocellara Etnea	Olive verdi di Paternò	Others	Others	Green olives	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	4.18	64.18890986	4.855915789
O136	MO7	Picual	Picual	Others	Others	Black olives	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	3.7	94.16510608	15.53324
O137	FLC12	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	5.29	22.73055292	3.37875
O138	FLC13	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	4.78	21.87862376	6.503371795
O139	FLC14	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	5.54	24.00545821	2.692643678
O140	FLC15	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	4.94	18.88121771	3.466891304
O141	FLC16	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	4.18	19.40349665	9.590644444
O142	FL1_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	Gas	None	180	170 < days ≤ 240	NA	NA	NA
O143	FL3_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	NA	NA	NA
O144	C75	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.582	94.81127786	3.20756
O145	C76	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.97	58.94676826	3.64905
O146	C81	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.778	75.6519279	3.05439
O147	C82	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.216	97.09122933	9.474015
