Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
C135	bile salt	5055.258229	C135	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	Daniele Mandarello	4.15	44.62	8.94
C135	osmosis	283032.9829	C135	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	Daniele Mandarello	4.15	44.62	8.94
C135	pH	357623.2471	C135	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	Daniele Mandarello	4.15	44.62	8.94
C135	temperature	480455.4283	C135	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	Daniele Mandarello	4.15	44.62	8.94
C169	bile salt	45615.36557	C169	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.26	52.80195468	4.608615
C169	osmosis	98610.80478	C169	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.26	52.80195468	4.608615
C169	pH	347971.2215	C169	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.26	52.80195468	4.608615
C169	temperature	462819.8753	C169	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.26	52.80195468	4.608615
C170	bile salt	1259.715729	C170	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.71	72.07588771	15.77651
C170	osmosis	57096.91771	C170	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.71	72.07588771	15.77651
C170	pH	317510.7369	C170	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.71	72.07588771	15.77651
C170	temperature	522599.3199	C170	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.71	72.07588771	15.77651
C171	bile salt	15648.27724	C171	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.16	65.79304702	15.18185
C171	osmosis	209706.1547	C171	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.16	65.79304702	15.18185
C171	pH	373004.1463	C171	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.16	65.79304702	15.18185
C171	temperature	509109.6516	C171	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.16	65.79304702	15.18185
C172	bile salt	12783.37047	C172	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.38	86.96409865	21.37172
C172	osmosis	79859.13898	C172	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.38	86.96409865	21.37172
C172	pH	338710.9023	C172	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.38	86.96409865	21.37172
C172	temperature	493938.4022	C172	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.38	86.96409865	21.37172
C173	bile salt	4958.048842	C173	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.99	87.90225168	32.74234
C173	osmosis	91060.52444	C173	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.99	87.90225168	32.74234
C173	pH	351957.8843	C173	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.99	87.90225168	32.74234
C173	temperature	541959.8799	C173	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	3.99	87.90225168	32.74234
C174	bile salt	43268.21026	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
C174	osmosis	181220.6965	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
C174	pH	362422.5415	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
C174	temperature	537773.365	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
O100	bile salt	87275.20853	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	osmosis	160773.7722	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	pH	288231.6274	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	temperature	741847.9651	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O101	bile salt	19782.25992	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA	NA
