sseqid	O164	O269	O271	O53B	O56B	O114	O125	O129	O132	O208	O201	O59B	O189	O194	O196	O242	O245	O253	O257	O261	O262	O265	O356	O133	O186	O187	O190	O191	O192	O21	O27	O29	O42	O45	O46	O58B	C135	O101	O104	O106	O107	O108	O109	O110	O111	O137	O141	O142	O145	O149	O152	O155	O159	O161	O169	O170	O171	O172	O173	O174	O175	O176	O177	O185	O202	O218	O230	O235	O236	O237	O251	O254	O266	O359	O363	O365	O47	O76	O83	O84	O85	O86	O89	O90	O92	O93	O96	O97	O98	C171	C174	O100	O131	O134	O138	O139	O140	O143	O157	O158	O167	O184	O193	O198	O20	O207	O264	O273	O276	O277	O293	O352	O355	O357	O360	O361	O362	O41	O81	O87	O99	O285	O195	O246	O249	O39	O54B	O82	O12	O284	O148	O162	O183	O241	O259	O286	O340	C172	O127	O199	O222	O223	O224	O226	O227	O274	O52B	O74	C169	C173	O136	O18	O203	O206	O353	O44	C170	O11	O15	O178	O179	O180	O182	O279	O280	O288	O296	O297	O342	O346	O348	O349	O364	O366	O156	O160	O163	O166	O168	O247	O250	O252	O256	O258	O263	O267	O165	O204	O126	O260	O128	O229	O102	O205	O36	O37	O146	O239	O345	O295	O116	O299	O238	O341	O124	O200	O151	O112	O120	O232	O60B	O150	O121	O122	O123	O144	O147	O154	O181	O228	O234	O240	O26	O275	O278	O28	O298	O343	O344	O347	O350	O351	O354	O367	O368	O43	O55B	O57B	O75	O91	O103	O233	O34	O88	O231	O243	O281	O282	O283	O153	O270	O244	O255	O268	O272	O209	O73	O289	O32	O67	O77	O33	O68	O78	O79	O358	O135	O31	O35	O66	O248	Entry	Entry Name	Protein names	Gene Names	Length	Organism	Organism (ID)	kegg_orthology	category	EC_number	specific_function	broad_class	notes
A0A024E7R9	A0A024E7R9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A024E7R9	A0A024E7R9_9PSED	Zinc-containing alcohol dehydrogenase superfamily protein	OU5_1763	332	Pseudomonas mandelii JR-1	1147786	K13979	alcohol dehydrogenase (NADP+)	1.1.1.2	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Alcohol dehydrogenase	NA
A0A024E7V1	A0A024E7V1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A024E7V1	A0A024E7V1_9PSED	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX OU5_1803	326	Pseudomonas mandelii JR-1	1147786	K03621	phosphate acyltransferase	2.3.1.274	plsX; phosphate acyltransferase	Acyltransferase	# composizione trigliceridi
A0A024EAL0	A0A024EAL0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A024EAL0	A0A024EAL0_9PSED	Alpha/beta hydrolase fold	OU5_2885	296	Pseudomonas mandelii JR-1	1147786	K01046	triacylglycerol lipase	3.1.1.3	lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]	Lipase	NA
A0A031JVX0	A0A031JVX0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A031JVX0	A0A031JVX0_9SPHN	alcohol dehydrogenase (EC 1.1.1.1)	BES08_30225 BV97_02992	341	Novosphingobium resinovorum	158500	K13953	Alcohol dehydrogenase	1.1.1.1	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	Alcohol dehydrogenase	NA
A0A067Z1G0	A0A067Z1G0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A067Z1G0	A0A067Z1G0_GLUOY	L-ornithine N(alpha)-acyltransferase (EC 2.3.2.30)	GLS_c08560	276	Gluconobacter oxydans DSM 3504	1288313	K22310	L-ornithine Nalpha-acyltransferase	2.3.2.30	olsB; L-ornithine Nalpha-acyltransferase	Acyltransferase	# influenza sul rilascio di flavoury compounds in vari alimenti fermentati + flavour enhancer (kokumi)
A0A067Z2I4	A0A067Z2I4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A067Z2I4	A0A067Z2I4_GLUOY	alcohol dehydrogenase (EC 1.1.1.1)	GLS_c03350	327	Gluconobacter oxydans DSM 3504	1288313	K13953	Alcohol dehydrogenase	1.1.1.1	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	Alcohol dehydrogenase	NA
A0A067Z4K8	A0A067Z4K8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A067Z4K8	A0A067Z4K8_GLUOY	Alcohol dehydrogenase AdhA	adhA GLS_c11370	757	Gluconobacter oxydans DSM 3504	1288313	K22473	Alcohol dehydrogenase	1.1.5.5	adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]	Alcohol dehydrogenase	NA
A0A067Z7K1	A0A067Z7K1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A067Z7K1	A0A067Z7K1_GLUOY	N-acetyltransferase YncA (EC 2.3.1.-)	yncA GLS_c24880	173	Gluconobacter oxydans DSM 3504	1288313	K24217	L-amino acid N-acyltransferase	2.3.1.-	mnaT; L-amino acid N-acyltransferase [EC:2.3.1.-]	Acyltransferase	# produce N-acylated aminoacids
A0A076LRP6	A0A076LRP6	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A076LRP6	A0A076LRP6_9GAMM	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	frmA ETEE_p1050	369	Edwardsiella anguillarum ET080813	667120	K00121	Alcohol dehydrogenase	1.1.1.1	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	Alcohol dehydrogenase	NA
A0A076PGL1	A0A076PGL1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A076PGL1	A0A076PGL1_KLEPN	alcohol dehydrogenase (NADP(+)) (EC 1.1.1.2)	adhC2 B6I68_21180 CP554_11105 FXN67_11925 G4V31_26945 NCTC13465_04842 NCTC9617_05087 SAMEA3499901_01611 SAMEA3515122_05066 SAMEA3538828_03359	339	Klebsiella pneumoniae	573	K12957	Alcohol dehydrogenase	1.1.1.183	ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]	Alcohol dehydrogenase	NA
